Zone,"Zone UTF8",Delegated,"Registry Name","Registry Alias","Registry Info URL","Registry URL","Backend Name","Backend Alias","Backend Info URL","Backend URL","Whois Hostname","Whois Charset","Whois IPv6","Whois Options","Trademark Open","Trademark Close"
xn--ngbc5azd,????,1,"International Domain Registry Pty. Ltd.",International-Domain-Registry-Pty-Ltd,http://ntldstats.com/registry/International-Domain-Registry-Pty-Ltd,1,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.xn--ngbc5azd,utf8,1,,2013-12-30,2014-03-30
xn--unup4y,游戏,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2017-03-13,2017-06-13
ventures,ventures,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2014-01-27,2014-04-29
equipment,equipment,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2014-02-03,2014-05-06
singles,singles,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2014-01-27,2014-04-29
lighting,lighting,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2014-02-03,2014-05-06
holdings,holdings,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2014-01-27,2014-04-29
voyage,voyage,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2014-02-17,2014-05-20
clothing,clothing,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2014-01-27,2014-04-29
guru,guru,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2014-01-27,2014-04-29
