domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
rq.r9t1.com,451,15.73%,846,395,53.31%
asia.pool.ntp.org,197,6.87%,390,193,50.51%
cn.pool.ntp.org,191,6.66%,395,204,48.35%
optimizationguide-pa.googleapis.com,184,6.42%,346,162,53.18%
clientservices.googleapis.com,60,2.09%,101,41,59.41%
safebrowsing.googleapis.com,51,1.78%,106,55,48.11%
0.ubuntu.pool.ntp.org,45,1.57%,48,3,93.75%
storage.googleapis.com,36,1.26%,72,36,50.00%
mirrors.aliyun.com,34,1.19%,35,1,97.14%
1hkclu.pronetworklink.net,33,1.15%,72,39,45.83%
clients1.google.com,32,1.12%,73,41,43.84%
d27xxe7juh1us6.cloudfront.net,25,0.87%,53,28,47.17%
registry-1.docker.io,23,0.80%,29,6,79.31%
2.ubuntu.pool.ntp.org,23,0.80%,23,0,100.00%
femetrics.grammarly.io,22,0.77%,47,25,46.81%
android.clients.google.com,22,0.77%,48,26,45.83%
browser.360.cn,21,0.73%,44,23,47.73%
1.ubuntu.pool.ntp.org,21,0.73%,24,3,87.50%
us2.ethermine.org,20,0.70%,20,0,100.00%
asia1.ethermine.org,20,0.70%,20,0,100.00%
data.bilibili.com,19,0.66%,43,24,44.19%
3.ubuntu.pool.ntp.org,18,0.63%,19,1,94.74%
eth.2miners.com,18,0.63%,18,0,100.00%
us1.ethermine.org,18,0.63%,18,0,100.00%
hub5pn.v6.sandai.net,17,0.59%,17,0,100.00%
eu1.ethermine.org,16,0.56%,16,0,100.00%
zyx.qq.com,15,0.52%,42,27,35.71%
gecko-bd.feishu.cn,14,0.49%,31,17,45.16%
update.googleapis.com,13,0.45%,35,22,37.14%
newtab.firefoxchina.cn,12,0.42%,15,3,80.00%
ipv6.msftconnecttest.com,11,0.38%,19,8,57.89%
api2.firefoxchina.cn,11,0.38%,13,2,84.62%
s.safe.360.cn,10,0.35%,23,13,43.48%
content-autofill.googleapis.com,10,0.35%,24,14,41.67%
mimg.127.net,10,0.35%,10,0,100.00%
api.m.jd.com,10,0.35%,20,10,50.00%
ntp.sjtu.edu.cn,10,0.35%,10,0,100.00%
slardar-bd.feishu.cn,9,0.31%,18,9,50.00%
clients4.google.com,8,0.28%,27,19,29.63%
