domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
rq.r9t1.com,2674,16.28%,5182,2508,51.60%
asia.pool.ntp.org,1491,9.08%,3040,1549,49.05%
optimizationguide-pa.googleapis.com,1458,8.88%,2734,1276,53.33%
cn.pool.ntp.org,1436,8.74%,3077,1641,46.67%
big1.f5.lenovo.com.cn,847,5.16%,847,0,100.00%
big2.f5.lenovo.com.cn,822,5.00%,822,0,100.00%
safebrowsing.googleapis.com,514,3.13%,977,463,52.61%
update.googleapis.com,376,2.29%,542,166,69.37%
liveupdate5.f5.lenovo.com.cn,360,2.19%,360,0,100.00%
clientservices.googleapis.com,345,2.10%,674,329,51.19%
www.chinauos.com,289,1.76%,9418,9129,3.07%
registry-1.docker.io,289,1.76%,377,88,76.66%
clients1.google.com,265,1.61%,597,332,44.39%
femetrics.grammarly.io,246,1.50%,529,283,46.50%
mirrors.aliyun.com,233,1.42%,248,15,93.95%
0.ubuntu.pool.ntp.org,224,1.36%,240,16,93.33%
android.clients.google.com,218,1.33%,482,264,45.23%
d27xxe7juh1us6.cloudfront.net,197,1.20%,397,200,49.62%
browser.360.cn,194,1.18%,439,245,44.19%
s3-alpha-sig.figma.com,194,1.18%,381,187,50.92%
2.ubuntu.pool.ntp.org,187,1.14%,188,1,99.47%
1.ubuntu.pool.ntp.org,185,1.13%,192,7,96.35%
1hkclu.pronetworklink.net,184,1.12%,477,293,38.57%
3.ubuntu.pool.ntp.org,183,1.11%,193,10,94.82%
storage.googleapis.com,180,1.10%,438,258,41.10%
ipv6.msftconnecttest.com,176,1.07%,311,135,56.59%
zyx.qq.com,174,1.06%,440,266,39.55%
www.taobao.com,169,1.03%,343,174,49.27%
us2.ethermine.org,160,0.97%,160,0,100.00%
data.bilibili.com,157,0.96%,354,197,44.35%
eu1.ethermine.org,154,0.94%,154,0,100.00%
eth.2miners.com,144,0.88%,158,14,91.14%
asia1.ethermine.org,142,0.86%,160,18,88.75%
us1.ethermine.org,140,0.85%,160,20,87.50%
content-signature-2.cdn.mozilla.net,125,0.76%,247,122,50.61%
vconf.f.360.cn,110,0.67%,221,111,49.77%
3.centos.pool.ntp.org,107,0.65%,107,0,100.00%
gecko-bd.feishu.cn,86,0.52%,189,103,45.50%
firefox.settings.services.mozilla.com,77,0.47%,182,105,42.31%
newtab.firefoxchina.cn,71,0.43%,101,30,70.30%
clients4.google.com,66,0.40%,158,92,41.77%
cache.tv.qq.com,66,0.40%,155,89,42.58%
treatment.grammarly.com,64,0.39%,128,64,50.00%
update1.sangfor.net,60,0.37%,179,119,33.52%
go.microsoft.com,58,0.35%,136,78,42.65%
translate.google.cn,55,0.33%,119,64,46.22%
honeycomb.wpscdn.cn,53,0.32%,122,69,43.44%
