domain,num_aaaa_fail,rate_all,num_aaaa_all,num_aaaa_success,rate_aaaa_fail
hub5p.sandai.net,97184,5.73%,97184,0,100.00%
www.baidu.com,79661,4.69%,152826,73165,52.13%
www.chinauos.com,79193,4.67%,79193,0,100.00%
asimov.vortex.data.trafficmanager.net,58509,3.45%,58509,0,100.00%
downloads.yoctoproject.org,43816,2.58%,43816,0,100.00%
note.youdao.com,36083,2.13%,36083,0,100.00%
connectivity-check.ubuntu.com,36007,2.12%,36007,0,100.00%
rq.r9t1.com,28755,1.69%,28755,0,100.00%
optimizationguide-pa.googleapis.com,26365,1.55%,27075,710,97.38%
api.miwifi.com,25594,1.51%,25594,0,100.00%
daisy.ubuntu.com,25338,1.49%,66446,41108,38.13%
xgpolardb.mysql.polardb.rds.aliyuncs.com,21206,1.25%,21206,0,100.00%
sources.openembedded.org,20322,1.20%,20322,0,100.00%
yapi.kdsec.org,16876,0.99%,16876,0,100.00%
www.msftncsi.com,16836,0.99%,16836,0,100.00%
edragent.sangfor.com.cn,16489,0.97%,16489,0,100.00%
settings-win.data.microsoft.com,15534,0.92%,15534,0,100.00%
retracker.mgts.by,12627,0.74%,12627,0,100.00%
retracker.lanta-net.ru,12115,0.71%,12115,0,100.00%
es.proj217.app.kdsec.org,11982,0.71%,11982,0,100.00%
cu1pehnswss01.servicebus.windows.net,11288,0.67%,11288,0,100.00%
x.research.qq.com,11285,0.66%,11285,0,100.00%
connectivitycheck.platform.hicloud.com,10865,0.64%,16032,5167,67.77%
v10.events.data.microsoft.com,10691,0.63%,11409,718,93.71%
safebrowsing.googleapis.com,10158,0.60%,10403,245,97.64%
ipv4only.arpa,9800,0.58%,9800,0,100.00%
hsk-embed.oray.com,9386,0.55%,9386,0,100.00%
2.ubuntu.pool.ntp.org,9100,0.54%,9250,150,98.38%
osfsr.lenovomm.com,9027,0.53%,9027,0,100.00%
us-v20.events.data.microsoft.com,8533,0.50%,8656,123,98.58%
assets.contentstack.io,8414,0.50%,8414,0,100.00%
www.expressapisv2.net,8328,0.49%,15395,7067,54.10%
mail.cstnet.cn,8117,0.48%,15773,7656,51.46%
h5-api.appstore.vivo.com.cn,7975,0.47%,7975,0,100.00%
qup.b.qianxin.com,7810,0.46%,7810,0,100.00%
ip.42.pl,6781,0.40%,6781,0,100.00%
browser.360.cn,6741,0.40%,6814,73,98.93%
ctldl.windowsupdate.com,6697,0.39%,6858,161,97.65%
mvgforumtracker.mvgroup.org,6431,0.38%,6431,0,100.00%
www.tribalmixes.com,5904,0.35%,5904,0,100.00%
www.tvnihon.com,5851,0.34%,5851,0,100.00%
github.com,5768,0.34%,5768,0,100.00%
