domain,num_aaaa_fail,rate_all,num_aaaa_all,num_aaaa_success,rate_aaaa_fail
sources.openembedded.org,7561,21.53%,7561,0,100.00%
hub5p.sandai.net,4911,13.98%,4911,0,100.00%
www.baidu.com,1641,4.67%,3220,1579,50.96%
note.youdao.com,1173,3.34%,1173,0,100.00%
api.miwifi.com,844,2.40%,844,0,100.00%
daisy.ubuntu.com,739,2.10%,1662,923,44.46%
optimizationguide-pa.googleapis.com,718,2.04%,736,18,97.55%
connectivity-check.ubuntu.com,716,2.04%,716,0,100.00%
es.proj217.app.kdsec.org,701,2.00%,701,0,100.00%
retracker.mgts.by,672,1.91%,672,0,100.00%
rq.r9t1.com,635,1.81%,635,0,100.00%
ipv4only.arpa,612,1.74%,612,0,100.00%
www.msftncsi.com,594,1.69%,594,0,100.00%
www.chinauos.com,556,1.58%,556,0,100.00%
retracker.lanta-net.ru,502,1.43%,502,0,100.00%
cu1pehnswss01.servicebus.windows.net,497,1.42%,497,0,100.00%
settings-win.data.microsoft.com,437,1.24%,437,0,100.00%
allall01.baidupcs.com,404,1.15%,830,426,48.67%
pool.ntp.org,397,1.13%,397,0,100.00%
x.research.qq.com,375,1.07%,375,0,100.00%
yapi.kdsec.org,363,1.03%,363,0,100.00%
mvgforumtracker.mvgroup.org,349,0.99%,349,0,100.00%
www.tvnihon.com,348,0.99%,348,0,100.00%
www.bit-hdtv.com,344,0.98%,344,0,100.00%
www.tribalmixes.com,319,0.91%,319,0,100.00%
v10.events.data.microsoft.com,303,0.86%,339,36,89.38%
2.ubuntu.pool.ntp.org,274,0.78%,275,1,99.64%
github.com,270,0.77%,270,0,100.00%
osfsr.lenovomm.com,257,0.73%,257,0,100.00%
safebrowsing.googleapis.com,257,0.73%,264,7,97.35%
nj.t.bcsp2p.baidu.com,257,0.73%,257,0,100.00%
hsk-embed.oray.com,250,0.71%,250,0,100.00%
t.overflow.biz,246,0.70%,246,0,100.00%
allall02.baidupcs.com,228,0.65%,482,254,47.30%
edragent.sangfor.com.cn,225,0.64%,225,0,100.00%
www.belkin.com,207,0.59%,207,0,100.00%
www.yuwabits.net,206,0.59%,206,0,100.00%
self.events.data.microsoft.com,205,0.58%,236,31,86.86%
locprod2-elb-us-west-2.prod.mozaws.net,204,0.58%,204,0,100.00%
ctldl.windowsupdate.com,197,0.56%,201,4,98.01%
api.vc.bilibili.com,190,0.54%,224,34,84.82%
browser.360.cn,183,0.52%,184,1,99.46%
update.pan.baidu.com,183,0.52%,183,0,100.00%
get.sogou.com,170,0.48%,170,0,100.00%
duba-defend.zhhainiao.com,166,0.47%,166,0,100.00%
share.camoe.cn,166,0.47%,166,0,100.00%
