resolver_ip,num_a_all,rate_a_all,num_a_success,rate_a_success,asnum,asname,country
208.67.220.220,8351,24.84%,8351,100.00%,36692,OPENDNS,US
8.8.8.8,7699,22.90%,7125,92.54%,15169,GOOGLE,US
114.114.114.114,6516,19.38%,5418,83.15%,174,COGENT-174,US
159.226.8.7,5357,15.94%,4768,89.01%,7497,CSTNET-AS-AP Computer Network Information Center,CN
119.29.29.29,1496,4.45%,1335,89.24%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
223.5.5.5,684,2.03%,618,90.35%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
159.226.8.6,620,1.84%,547,88.23%,7497,CSTNET-AS-AP Computer Network Information Center,CN
8.8.4.4,525,1.56%,491,93.52%,15169,GOOGLE,US
1.2.4.8,455,1.35%,429,94.29%,24406,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
180.76.76.76,329,0.98%,258,78.42%,38365,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd.",CN
101.198.198.198,243,0.72%,232,95.47%,55992,QIHOO Beijing Qihu Technology Company Limited,CN
223.6.6.6,171,0.51%,170,99.42%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
114.114.115.115,167,0.50%,163,97.60%,174,COGENT-174,US
123.125.81.6,142,0.42%,128,90.14%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
210.2.4.8,116,0.35%,102,87.93%,24151,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
202.106.0.20,94,0.28%,93,98.94%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
156.226.8.7,36,0.11%,36,100.00%,135357,"SKHT-AS Shenzhen Katherine Heng Technology Information Co., Ltd.",CN
192.5.5.241,33,0.10%,33,100.00%,3557,ISC-AS,US
162.14.24.251,30,0.09%,15,50.00%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
159.226.95.48,26,0.08%,26,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.219,26,0.08%,26,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
114.114.114.11,24,0.07%,24,100.00%,174,COGENT-174,US
210.73.64.1,24,0.07%,24,100.00%,18239,"CAPNET NO.11 Xi San Huan Zhong Road,Beijing",CN
140.207.198.6,21,0.06%,20,95.24%,17621,CNCGROUP-SH China Unicom Shanghai network,CN
40.90.4.1,20,0.06%,19,95.00%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
182.254.116.116,18,0.05%,13,72.22%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
119.119.119.119,18,0.05%,5,27.78%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
119.28.28.28,16,0.05%,15,93.75%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
36.155.149.211,16,0.05%,13,81.25%,56046,CMNET-JIANGSU-AP China Mobile communications corporation,CN
14.114.114.114,16,0.05%,10,62.50%,4134,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
193.0.14.129,15,0.04%,15,100.00%,25152,K-ROOT-SERVER Reseaux IP Europeens Network Coordination Centre RIPE NCC,NL
192.12.94.30,15,0.04%,6,40.00%,397209,VRSN-AC28,US
156.140.24.15,13,0.04%,13,100.00%,null,null,null
101.198.199.200,12,0.04%,11,91.67%,55992,QIHOO Beijing Qihu Technology Company Limited,CN
203.107.13.33,12,0.04%,8,66.67%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
13.107.160.1,12,0.04%,12,100.00%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
180.153.228.6,11,0.03%,8,72.73%,4812,CHINANET-SH-AP China Telecom Group,CN
