resolver_ip,num_all,rate_all,num_success,rate_success,asnum,asname,country
8.8.8.8,679545,41.14%,607338,89.37%,15169,GOOGLE,US
114.114.114.114,344409,20.85%,257043,74.63%,174,COGENT-174,US
223.5.5.5,218775,13.24%,187895,85.89%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
159.226.8.7,215638,13.05%,160852,74.59%,7497,CSTNET-AS-AP Computer Network Information Center,CN
159.226.8.6,47330,2.87%,38216,80.74%,7497,CSTNET-AS-AP Computer Network Information Center,CN
119.29.29.29,43747,2.65%,31904,72.93%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
210.2.4.8,10657,0.65%,8920,83.70%,24151,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
101.198.198.198,10166,0.62%,8205,80.71%,55992,QIHOO Beijing Qihu Technology Company Limited,CN
8.8.4.4,9374,0.57%,6580,70.19%,15169,GOOGLE,US
208.67.220.220,9139,0.55%,8876,97.12%,36692,OPENDNS,US
180.76.76.76,6153,0.37%,4051,65.84%,38365,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd.",CN
1.2.4.8,6085,0.37%,4398,72.28%,24406,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
223.6.6.6,5184,0.31%,3461,66.76%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
114.114.115.115,3837,0.23%,2892,75.37%,174,COGENT-174,US
210.73.64.1,3287,0.20%,2890,87.92%,18239,"CAPNET NO.11 Xi San Huan Zhong Road,Beijing",CN
2.16.40.64,2426,0.15%,6,0.25%,21342,AKAMAI-ASN2,NL
202.106.0.20,2346,0.14%,1833,78.13%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
101.226.4.6,2203,0.13%,1262,57.29%,4812,CHINANET-SH-AP China Telecom Group,CN
1.1.1.1,1795,0.11%,1255,69.92%,13335,CLOUDFLARENET,US
123.125.81.6,1757,0.11%,1527,86.91%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
2.16.130.65,1567,0.09%,3,0.19%,21342,AKAMAI-ASN2,NL
182.254.116.116,1150,0.07%,989,86.00%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
159.168.8.7,975,0.06%,775,79.49%,28686,AVENIQ-AVECTRIS-AS,CH
119.28.28.28,934,0.06%,718,76.87%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
159.223.8.7,745,0.05%,484,64.97%,14061,DIGITALOCEAN-ASN,US
4.2.2.1,682,0.04%,412,60.41%,3356,LEVEL3,US
144.144.144.144,663,0.04%,525,79.19%,749,DNIC-AS-00749,US
154.52.12.53,653,0.04%,117,17.92%,40934,FORTINET,US
8.8.8.4,616,0.04%,609,98.86%,15169,GOOGLE,US
202.96.128.68,577,0.03%,386,66.90%,4134,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
8.212.93.3,542,0.03%,264,48.71%,134963,ASEPL-AS-AP Alibaba.com Singapore E-Commerce Private Limited,SG
119.119.119.119,498,0.03%,188,37.75%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
124.124.124.124,490,0.03%,393,80.20%,18101,RELIANCE-COMMUNICATIONS-IN Reliance Communications Ltd.DAKC MUMBAI,IN
52.80.52.52,459,0.03%,338,73.64%,55960,BJ-GUANGHUAN-AP Beijing Guanghuan Xinwang Digital,CN
199.29.29.29,449,0.03%,285,63.47%,174,COGENT-174,US
13.107.222.240,425,0.03%,240,56.47%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
156.140.24.15,412,0.02%,206,50.00%,null,null,null
1.0.0.1,384,0.02%,359,93.49%,13335,CLOUDFLARENET,US
10.24.49.10,360,0.02%,180,50.00%,null,null,null
114.114.114.119,315,0.02%,192,60.95%,174,COGENT-174,US
156.226.8.7,267,0.02%,267,100.00%,135357,"SKHT-AS Shenzhen Katherine Heng Technology Information Co., Ltd.",CN
192.168.8.7,255,0.02%,110,43.14%,null,null,null
150.171.10.39,252,0.02%,111,44.05%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
8.8.8.5,245,0.01%,140,57.14%,15169,GOOGLE,US
9.9.9.9,235,0.01%,170,72.34%,19281,QUAD9-AS-1,CH
89.44.169.136,228,0.01%,171,75.00%,203055,MEGA-LIMITED-AS Mega Limited,LU
4.4.4.4,225,0.01%,147,65.33%,3356,LEVEL3,US
124.16.137.58,215,0.01%,0,0.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
114.114.114.11,206,0.01%,193,93.69%,174,COGENT-174,US
218.30.118.6,193,0.01%,186,96.37%,23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
202.97.224.68,186,0.01%,8,4.30%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
