nxdomain,num
192.168.8.54,4429
yapi-mongo,3993
clock.cuhk.edu.hk,3637
clock.redhat.com,3635
nstld.verisign-grs.com,2474
teredo.ipv6.microsoft.com,1854
peer0.org2.example.com,1833
peer0.org1.example.com,1755
mongodb,985
es-cn-0pp1l8f1v001204h1.public.elasticsearch.aliyuncs.com,958
postgres,806
rdate.darkorb.net,529
1.0.17.172.in-addr.arpa,526
1.0.18.172.in-addr.arpa,524
11.8.168.192.in-addr.arpa,516
2.0.254.169.in-addr.arpa,514
1.0.20.172.in-addr.arpa,513
1.0.27.172.in-addr.arpa,511
1.0.23.172.in-addr.arpa,510
1.64.168.192.in-addr.arpa,510
1.0.19.172.in-addr.arpa,510
n2,488
n3,487
auth.sangfor.com.cn,422
n6,400
n4,386
n7,380
n5,372
176.43.37.101.in-addr.arpa,276
home.hicloud.com,245
NPIBB12FE.DHCP HOST,231
whsmarthome.hwcloudtest.cn,207
auth-28082411.wifi.com,206
sp.sangfor.com.cn,198
ctl,176
40.46.235.103.in-addr.arpa,152
websv.aliyundrive.com,149
181.81.10.10.in-addr.arpa,126
cncjn.line.phx.baofeng.net,102
koji.nfscns.com,98
vpn.maskvpn.cc,92
vpn.maskvpn.org,91
48.138.16.124.in-addr.arpa,81
koji.nfscns.com.nfscns.com,80
metadata-grpc-service,79
auth-28082411.wifi.com.localdomain,68
hostmaster.donuts.email,64
analysis.sangfor.com.cn,60
zipkin.istio-system,59
videosearch.ubuntu.com,54
149.38.181.220.in-addr.arpa,52
wpad.www.tendawifi.com,49
connectivity-check.ubuntu.com.localdomain,47
wifi.weixin.qq.com,45
hostmaster.centralnic.net,45
time.bjca.org.cn,42
internal.akadns.net,41
teams.cloudapp.net,38
38.177.215.14.in-addr.arpa,38
m.openapi.360.cn,38
k8s-node,36
npi27aa61.nfs.iscas.ac.cn,36
nat.emule.org.cn,35
hostmaster.nameserver,35
t.kite.com,30
win8.ipv6.microsoft.com,29
0.t.keepitpumpin.io,28
stun.services.mozilla.com,28
123.28.10.10.in-addr.arpa,27
ts-notification-mongo,26
windows.kite.com,26
_http._tcp.softcenter.os3.win.nfschina.com,26
p204-acsegateway.icloud.com.cn,26
_http._tcp.10.0.1.37,25
detectportal.firefox.com.itechs.cn,24
nxdomainadmin.dnspod.com,24
_http._tcp.192.168.3.115,24
hpc-2576,24
ts-notification-mongo.localdomain,23
jrebel.npegeek.com,22
6.200.61.182.in-addr.arpa,22
lb._dns-sd._udp.0.1.168.192.in-addr.arpa,21
197.254.32.121.in-addr.arpa,21
uc.sina.com.cn,20
wpad.gddwdym.com,20
im.sina.com.cn,19
ftn.qq.com,19
platform.ledger.com,18
koji.nfscns.com.localdomain,18
sip.reuters.net,18
skype.cloudapp.net,18
customer-187-157-23-243-sta.uninet-ide.com.mx,18
customer-187-157-23-243-sta.uninet-ide.com.mx.localdomain,18
3.215.200.101.in-addr.arpa,18
lb._dns-sd._udp.0.31.168.192.in-addr.arpa,17
v2-mg02.kwaicdn.com,17
k8s-node.localdomain,17
id.tianya.cn,17
proxy.pkgame.com,17
retracker.netbynet.ru,17
sqm.microsoft.com,17
191.124.168.192.in-addr.arpa,16
mongo,16
b4bf120.pd.gladns.com,16
node6,16
cncjn.phn.phx.baofeng.net,16
z.mercax.com,16
upd.sangfor.com.cn,16
link.shequ.10086.cn,16
t1.leech.ie,16
t2.leech.ie,16
productsearch.ubuntu.com,16
code.osssc.ac.cn.osssc,16
lb._dns-sd._udp.0.0.168.192.in-addr.arpa,15
241.34.189.206.in-addr.arpa,15
rc.kite.com,15
api.intelsa.intel.com,15
cloud.zoom.us,15
sip.qqvoice.com,15
ipv6.tracker.zerobytes.xyz,15
discord.heihachi.pw,15
6rt.tace.ru,15
113.100.168.192.in-addr.arpa,15
lb._dns-sd._udp.0.81.10.10.in-addr.arpa,14
1.122.168.192.in-addr.arpa,14
2.NFS.pool.ntp.org,14
connectivity-check.ubuntu.com.itechs.cn,14
239.83.62.178.in-addr.arpa,13
v1.baidupcs.com,13
example.org.flash,13
detectportal.firefox.com.flash,13
ANGUS-PC,12
153.125.168.192.in-addr.arpa,12
8.1.8.9.0.8.c.2.0.0.8.f.f.c.1.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12
b4bf120.pb.gladns.com,12
179.92.101.46.in-addr.arpa,12
upd2.sangfor.com.cn,12
cloud-dns-hostmaster.google.com,12
2.NFS.pool.ntp.org.localdomain,12
p218-contacts.icloud.com,12
b.0.e.5.e.c.f.2.6.9.d.5.f.1.3.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,11
tracker.iriseden.eu,11
admin.tldns.godaddy,11
88.81.10.10.in-addr.arpa,11
p218-contacts.icloud.com.local,11
lb._dns-sd._udp.0.0.167.192.in-addr.arpa,11
auth2.sangfor.com.cn.localdomain,11
videodown.baofeng.com,11
