domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
rq.r9t1.com,1184,9.28%,2317,1133,51.10%
optimizationguide-pa.googleapis.com,1102,8.64%,2181,1079,50.53%
asia.pool.ntp.org,1078,8.45%,2277,1199,47.34%
cn.pool.ntp.org,1062,8.32%,2313,1251,45.91%
big1.f5.lenovo.com.cn,831,6.51%,831,0,100.00%
big2.f5.lenovo.com.cn,831,6.51%,831,0,100.00%
liveupdate5.f5.lenovo.com.cn,414,3.24%,414,0,100.00%
safebrowsing.googleapis.com,319,2.50%,691,372,46.16%
browser.360.cn,295,2.31%,638,343,46.24%
clientservices.googleapis.com,251,1.97%,524,273,47.90%
update.googleapis.com,248,1.94%,413,165,60.05%
ns2.namebrightdns.com,224,1.76%,448,224,50.00%
clients1.google.com,221,1.73%,496,275,44.56%
ns1.namebrightdns.com,217,1.70%,434,217,50.00%
zyx.qq.com,190,1.49%,485,295,39.18%
data.bilibili.com,189,1.48%,405,216,46.67%
femetrics.grammarly.io,176,1.38%,381,205,46.19%
android.clients.google.com,172,1.35%,367,195,46.87%
pool.ntp.org,167,1.31%,320,153,52.19%
www.chinauos.com,166,1.30%,2810,2644,5.91%
d27xxe7juh1us6.cloudfront.net,157,1.23%,319,162,49.22%
www.taobao.com,143,1.12%,302,159,47.35%
ntp.sjtu.edu.cn,141,1.11%,141,0,100.00%
2.ubuntu.pool.ntp.org,128,1.00%,136,8,94.12%
0.ubuntu.pool.ntp.org,122,0.96%,130,8,93.85%
registry-1.docker.io,118,0.92%,131,13,90.08%
a1961.g2.akamai.net,115,0.90%,230,115,50.00%
3.ubuntu.pool.ntp.org,110,0.86%,113,3,97.35%
1.ubuntu.pool.ntp.org,109,0.85%,112,3,97.32%
hub5pn.v6.sandai.net,104,0.82%,104,0,100.00%
go.microsoft.com,102,0.80%,232,130,43.97%
eth.2miners.com,102,0.80%,102,0,100.00%
asia1.ethermine.org,100,0.78%,100,0,100.00%
us1.ethermine.org,100,0.78%,100,0,100.00%
eu1.ethermine.org,100,0.78%,100,0,100.00%
ipv6.msftconnecttest.com,96,0.75%,181,85,53.04%
gecko-bd.feishu.cn,89,0.70%,183,94,48.63%
gateway.fe.apple-dns.net,82,0.64%,195,113,42.05%
content-autofill.googleapis.com,81,0.63%,180,99,45.00%
dcldshlupt.alicdn.com,80,0.63%,159,79,50.31%
vconf.f.360.cn,78,0.61%,157,79,49.68%
honeycomb.wpscdn.cn,73,0.57%,154,81,47.40%
internal-api-lark-api.feishu.cn,70,0.55%,121,51,57.85%
www.zhihu.com,63,0.49%,140,77,45.00%
ioshost.qtlcdn.com,60,0.47%,125,65,48.00%
beacons.gcp.gvt2.com,59,0.46%,126,67,46.83%
qurl.f.360.cn,58,0.45%,118,60,49.15%
init.push.apple.com,58,0.45%,115,57,50.43%
firefox.settings.services.mozilla.com,57,0.45%,105,48,54.29%
n-devs-sgw.tplinkcloud.com.cn,56,0.44%,120,64,46.67%
clients4.google.com,56,0.44%,118,62,47.46%
gateway.icloud.com,56,0.44%,123,67,45.53%
update.todesk.com,54,0.42%,121,67,44.63%
kv601.prod.do.dsp.mp.microsoft.com,53,0.42%,110,57,48.18%
www.apple.com,49,0.38%,119,70,41.18%
e6858.e19.s.tl88.net,47,0.37%,107,60,43.93%
gateway.fe.apple-dns.cn,44,0.34%,134,90,32.84%
accounts.google.com,40,0.31%,116,76,34.48%
assets.msn.com,39,0.31%,101,62,38.61%
us-v20.events.data.microsoft.com,28,0.22%,598,570,4.68%
detectportal.firefox.com,16,0.13%,650,634,2.46%
tracker.1337x.org,15,0.12%,292,277,5.14%
assets.msn.cn,7,0.05%,260,253,2.69%
config.edge.skype.com,6,0.05%,273,267,2.20%
btrace.qq.com,5,0.04%,222,217,2.25%
api.msn.com,5,0.04%,121,116,4.13%
www.msftncsi.com,4,0.03%,661,657,0.61%
x.research.qq.com,4,0.03%,1223,1219,0.33%
clients2.google.com,4,0.03%,205,201,1.95%
login.live.com,4,0.03%,487,483,0.82%
mon.zijieapi.com,3,0.02%,279,276,1.08%
v10.events.data.microsoft.com,3,0.02%,1312,1309,0.23%
pcs-sdk-server.alibaba.com,3,0.02%,812,809,0.37%
switch.pcfg.cache.wpscdn.cn,3,0.02%,414,411,0.72%
dldir1.qq.com,3,0.02%,152,149,1.97%
qing.wps.cn,3,0.02%,201,198,1.49%
detectportal.prod.mozaws.net,2,0.02%,438,436,0.46%
substrate.office.com,2,0.02%,109,107,1.83%
teredo.ipv6.microsoft.com,2,0.02%,2735,2733,0.07%
oth.eve.mdt.qq.com,2,0.02%,476,474,0.42%
drive.wps.cn,2,0.02%,187,185,1.07%
self.events.data.microsoft.com,2,0.02%,908,906,0.22%
cl.vd.f.360.cn,2,0.02%,174,172,1.15%
vortex.data.microsoft.com,2,0.02%,321,319,0.62%
www.msftconnecttest.com,2,0.02%,259,257,0.77%
wx.qlogo.cn,2,0.02%,531,529,0.38%
mmbiz.qpic.cn,2,0.02%,195,193,1.03%
wdl1.cache.wps.cn,2,0.02%,134,132,1.49%
x1.c.lencr.org,2,0.02%,301,299,0.66%
t.khd.2345.cc,2,0.02%,201,199,1.00%
ping.pinyin.sogou.com,1,0.01%,471,470,0.21%
default.exp-tas.com,1,0.01%,387,386,0.26%
outlook.office365.com,1,0.01%,144,143,0.69%
settings-win.data.microsoft.com,1,0.01%,1769,1768,0.06%
ldc.lenovo.com.cn,1,0.01%,174,173,0.57%
www.baidu.com,1,0.01%,7131,7130,0.01%
incoming.telemetry.mozilla.org,1,0.01%,206,205,0.49%
musicps.p2p.qq.com,1,0.01%,153,152,0.65%
weather-data.apple.com,1,0.01%,109,108,0.92%
