domain,num_aaaa_fail,rate_all,num_aaaa_all,num_aaaa_success,rate_aaaa_fail
sources.openembedded.org,2910,5.11%,2910,0,100.00%
www.chinauos.com,2767,4.86%,2767,0,100.00%
www.baidu.com,2765,4.85%,4851,2086,57.00%
note.youdao.com,1492,2.62%,1492,0,100.00%
hub5p.sandai.net,1446,2.54%,1446,0,100.00%
xgpolardb.mysql.polardb.rds.aliyuncs.com,1210,2.12%,1210,0,100.00%
connectivity-check.ubuntu.com,1100,1.93%,1100,0,100.00%
rq.r9t1.com,920,1.61%,920,0,100.00%
optimizationguide-pa.googleapis.com,736,1.29%,760,24,96.84%
hsk-embed.oray.com,734,1.29%,734,0,100.00%
api.miwifi.com,594,1.04%,594,0,100.00%
yapi.kdsec.org,585,1.03%,585,0,100.00%
daisy.ubuntu.com,583,1.02%,1267,684,46.01%
i5.cwip.eset.com,546,0.96%,546,0,100.00%
settings-win.data.microsoft.com,505,0.89%,505,0,100.00%
git.rancher.io,503,0.88%,1039,536,48.41%
us-v20.events.data.microsoft.com,496,0.87%,594,98,83.50%
assets.contentstack.io,449,0.79%,449,0,100.00%
www.msftncsi.com,447,0.78%,447,0,100.00%
edragent.sangfor.com.cn,396,0.70%,396,0,100.00%
v10.events.data.microsoft.com,370,0.65%,419,49,88.31%
github.com,352,0.62%,352,0,100.00%
ip.42.pl,352,0.62%,352,0,100.00%
osfsr.lenovomm.com,337,0.59%,337,0,100.00%
x.research.qq.com,334,0.59%,334,0,100.00%
safebrowsing.googleapis.com,265,0.47%,274,9,96.72%
www.expressapisv2.net,257,0.45%,473,216,54.33%
ipv4only.arpa,251,0.44%,251,0,100.00%
browser.360.cn,249,0.44%,252,3,98.81%
es.proj217.app.kdsec.org,224,0.39%,224,0,100.00%
mail.cstnet.cn,223,0.39%,425,202,52.47%
watson.telemetry.microsoft.com,221,0.39%,221,0,100.00%
allall01.baidupcs.com,214,0.38%,389,175,55.01%
shuc-pc-hunt.ksord.com,212,0.37%,212,0,100.00%
vortex.data.microsoft.com,211,0.37%,211,0,100.00%
analytics.yinxiang.com,199,0.35%,199,0,100.00%
tunnel.cfw.trustedsource.org,192,0.34%,192,0,100.00%
ctldl.windowsupdate.com,189,0.33%,197,8,95.94%
