domain,num_aaaa_fail,rate_all,num_aaaa_all,num_aaaa_success,rate_aaaa_fail
sources.openembedded.org,2910,9.69%,2910,0,100.00%
www.chinauos.com,2767,9.22%,2767,0,100.00%
www.baidu.com,2765,9.21%,4851,2086,57.00%
note.youdao.com,1492,4.97%,1492,0,100.00%
hub5p.sandai.net,1446,4.82%,1446,0,100.00%
xgpolardb.mysql.polardb.rds.aliyuncs.com,1210,4.03%,1210,0,100.00%
connectivity-check.ubuntu.com,1100,3.66%,1100,0,100.00%
rq.r9t1.com,920,3.06%,920,0,100.00%
optimizationguide-pa.googleapis.com,736,2.45%,760,24,96.84%
hsk-embed.oray.com,734,2.44%,734,0,100.00%
api.miwifi.com,594,1.98%,594,0,100.00%
yapi.kdsec.org,585,1.95%,585,0,100.00%
daisy.ubuntu.com,583,1.94%,1267,684,46.01%
i5.cwip.eset.com,546,1.82%,546,0,100.00%
settings-win.data.microsoft.com,505,1.68%,505,0,100.00%
git.rancher.io,503,1.68%,1039,536,48.41%
us-v20.events.data.microsoft.com,496,1.65%,594,98,83.50%
assets.contentstack.io,449,1.50%,449,0,100.00%
www.msftncsi.com,447,1.49%,447,0,100.00%
edragent.sangfor.com.cn,396,1.32%,396,0,100.00%
v10.events.data.microsoft.com,370,1.23%,419,49,88.31%
github.com,352,1.17%,352,0,100.00%
ip.42.pl,352,1.17%,352,0,100.00%
osfsr.lenovomm.com,337,1.12%,337,0,100.00%
x.research.qq.com,334,1.11%,334,0,100.00%
safebrowsing.googleapis.com,265,0.88%,274,9,96.72%
www.expressapisv2.net,257,0.86%,473,216,54.33%
ipv4only.arpa,251,0.84%,251,0,100.00%
browser.360.cn,249,0.83%,252,3,98.81%
es.proj217.app.kdsec.org,224,0.75%,224,0,100.00%
mail.cstnet.cn,223,0.74%,425,202,52.47%
watson.telemetry.microsoft.com,221,0.74%,221,0,100.00%
allall01.baidupcs.com,214,0.71%,389,175,55.01%
shuc-pc-hunt.ksord.com,212,0.71%,212,0,100.00%
vortex.data.microsoft.com,211,0.70%,211,0,100.00%
analytics.yinxiang.com,199,0.66%,199,0,100.00%
tunnel.cfw.trustedsource.org,192,0.64%,192,0,100.00%
ctldl.windowsupdate.com,189,0.63%,197,8,95.94%
self.events.data.microsoft.com,184,0.61%,208,24,88.46%
h5.do889.com,174,0.58%,174,0,100.00%
get.sogou.com,169,0.56%,169,0,100.00%
incoming.telemetry.mozilla.org,168,0.56%,168,0,100.00%
duba-defend.zhhainiao.com,165,0.55%,165,0,100.00%
retracker.lanta-net.ru,162,0.54%,162,0,100.00%
alfred.ixiacom.com,154,0.51%,154,0,100.00%
retracker.mgts.by,151,0.50%,151,0,100.00%
ping.pinyin.sogou.com,149,0.50%,149,0,100.00%
stun.douyucdn.cn,144,0.48%,260,116,55.38%
stun1.douyucdn.cn,144,0.48%,144,0,100.00%
nj.t.bcsp2p.baidu.com,140,0.47%,140,0,100.00%
pool.ntp.org,139,0.46%,139,0,100.00%
mobile.events.data.microsoft.com,136,0.45%,152,16,89.47%
ntp.sjtu.edu.cn,131,0.44%,131,0,100.00%
locprod2-elb-us-west-2.prod.mozaws.net,131,0.44%,131,0,100.00%
contile.services.mozilla.com,125,0.42%,125,0,100.00%
clientservices.googleapis.com,123,0.41%,132,9,93.18%
dedi.1808.cf,122,0.41%,122,0,100.00%
api.vc.bilibili.com,121,0.40%,138,17,87.68%
config.pinyin.sogou.com,116,0.39%,224,108,51.79%
cu1pehnswss01.servicebus.windows.net,116,0.39%,116,0,100.00%
mvgforumtracker.mvgroup.org,106,0.35%,106,0,100.00%
login.live.com,106,0.35%,106,0,100.00%
rscloud.rising.net.cn,100,0.33%,100,0,100.00%
2.ubuntu.pool.ntp.org,97,0.32%,100,3,97.00%
default.exp-tas.com,92,0.31%,188,96,48.94%
qing.wps.cn,79,0.26%,144,65,54.86%
pan.baidu.com,68,0.23%,241,173,28.22%
d27xxe7juh1us6.cloudfront.net,68,0.23%,136,68,50.00%
drive.wps.cn,62,0.21%,146,84,42.47%
pcs-sdk-server.alibaba.com,62,0.21%,105,43,59.05%
client.wns.windows.com,56,0.19%,103,47,54.37%
switch.pcfg.cache.wpscdn.cn,47,0.16%,108,61,43.52%
mtalk.google.com,30,0.10%,131,101,22.90%
tracker.1337x.org,18,0.06%,295,277,6.10%
www.google.com,17,0.06%,146,129,11.64%
opentracker.xyz,11,0.04%,648,637,1.70%
edge.microsoft.com,6,0.02%,165,159,3.64%
detectportal.firefox.com,0,0.00%,600,600,0.00%
detectportal.prod.mozaws.net,0,0.00%,429,429,0.00%
prod.detectportal.prod.cloudops.mozgcp.net,0,0.00%,438,438,0.00%
dns.msftncsi.com,0,0.00%,1017,1017,0.00%
ntp.ubuntu.com,0,0.00%,8289,8289,0.00%
localhost,0,0.00%,305,305,0.00%
dns.google,0,0.00%,421,421,0.00%
siambit.com,0,0.00%,233,233,0.00%
h5.qzone.qq.com,0,0.00%,135,135,0.00%
k8s.gcr.io,0,0.00%,277,277,0.00%
dns.weixin.qq.com.cn,0,0.00%,123,123,0.00%
wx.qlogo.cn,0,0.00%,132,132,0.00%
security.ubuntu.com,0,0.00%,265,265,0.00%
cn.archive.ubuntu.com,0,0.00%,280,280,0.00%
pypi.org,0,0.00%,11185,11185,0.00%
ping.dgraph.io,0,0.00%,105,105,0.00%
gkaracha.github.io,0,0.00%,122,122,0.00%
