resolver_ip,num_aaaa_all,rate_aaaa_all,num_aaaa_success,rate_aaaa_success,asnum,asname,country
223.5.5.5,27608,28.69%,14714,53.30%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
8.8.8.8,23918,24.85%,7646,31.97%,15169,GOOGLE,US
159.226.8.7,22330,23.20%,9450,42.32%,7497,CSTNET-AS-AP Computer Network Information Center,CN
114.114.114.114,13506,14.03%,4675,34.61%,174,COGENT-174,US
119.29.29.29,3172,3.30%,739,23.30%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
223.6.6.6,1468,1.53%,440,29.97%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
159.226.8.6,1178,1.22%,643,54.58%,7497,CSTNET-AS-AP Computer Network Information Center,CN
8.8.4.4,712,0.74%,207,29.07%,15169,GOOGLE,US
1.2.4.8,311,0.32%,63,20.26%,24406,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
114.114.115.115,290,0.30%,27,9.31%,174,COGENT-174,US
101.198.198.198,261,0.27%,78,29.89%,55992,QIHOO Beijing Qihu Technology Company Limited,CN
159.168.8.7,221,0.23%,130,58.82%,28686,AVENIQ-AVECTRIS-AS,CH
210.2.4.8,181,0.19%,49,27.07%,24151,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
10.24.49.10,154,0.16%,0,0.00%,null,null,null
202.106.0.20,125,0.13%,22,17.60%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
210.73.64.1,107,0.11%,96,89.72%,18239,"CAPNET NO.11 Xi San Huan Zhong Road,Beijing",CN
180.76.76.76,103,0.11%,43,41.75%,38365,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd.",CN
119.119.119.119,63,0.07%,47,74.60%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
192.18.0.2,62,0.06%,18,29.03%,43894,ORCL-LON-OPC1,SE
208.67.220.220,59,0.06%,16,27.12%,36692,OPENDNS,US
101.226.4.6,53,0.06%,17,32.08%,4812,CHINANET-SH-AP China Telecom Group,CN
202.97.224.68,37,0.04%,3,8.11%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
114.114.114.119,33,0.03%,0,0.00%,174,COGENT-174,US
9.9.9.9,24,0.02%,6,25.00%,19281,QUAD9-AS-1,CH
101.198.199.200,23,0.02%,6,26.09%,55992,QIHOO Beijing Qihu Technology Company Limited,CN
173.245.58.217,22,0.02%,22,100.00%,13335,CLOUDFLARENET,US
223.223.5.5,18,0.02%,18,100.00%,18144,"AS-ENECOM Energia Communications,Inc.",JP
4.2.2.1,18,0.02%,3,16.67%,3356,LEVEL3,US
124.124.124.124,17,0.02%,6,35.29%,18101,RELIANCE-COMMUNICATIONS-IN Reliance Communications Ltd.DAKC MUMBAI,IN
119.28.28.28,15,0.02%,3,20.00%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
119.29.29.2,15,0.02%,10,66.67%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
158.226.8.7,12,0.01%,3,25.00%,null,null,null
1.1.1.1,9,0.01%,4,44.44%,13335,CLOUDFLARENET,US
4.4.4.4,7,0.01%,2,28.57%,3356,LEVEL3,US
162.159.36.2,6,0.01%,5,83.33%,13335,CLOUDFLARENET,US
89.44.169.141,4,0.00%,3,75.00%,203055,MEGA-LIMITED-AS Mega Limited,LU
192.112.36.4,4,0.00%,2,50.00%,5927,DNIC-ASBLK-05800-06055,US
192.26.92.30,4,0.00%,2,50.00%,397209,VRSN-AC28,US
95.211.158.137,4,0.00%,2,50.00%,60781,LEASEWEB-NL-AMS-01 Netherlands,NL
2.1.4.1,3,0.00%,3,100.00%,3215,France Telecom - Orange,FR
205.251.198.119,3,0.00%,2,66.67%,16509,AMAZON-02,US
205.251.197.191,3,0.00%,0,0.00%,16509,AMAZON-02,US
114.114.114.11,3,0.00%,0,0.00%,174,COGENT-174,US
192.58.128.30,3,0.00%,3,100.00%,396544,VRSN-AC50-340,US
159.226.95.48,2,0.00%,1,50.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
4.2.2.2,2,0.00%,1,50.00%,3356,LEVEL3,US
218.30.118.6,2,0.00%,2,100.00%,23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
199.19.53.1,2,0.00%,1,50.00%,12041,AS-AFILIAS1,US
192.5.5.241,2,0.00%,2,100.00%,3557,ISC-AS,US
144.144.144.144,2,0.00%,2,100.00%,749,DNIC-AS-00749,US
150.171.10.39,2,0.00%,1,50.00%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
82.163.142.9,2,0.00%,2,100.00%,204078,GREENTEAM,IL
198.51.44.72,2,0.00%,2,100.00%,62597,NSONE,US
40.90.4.4,2,0.00%,1,50.00%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
202.12.27.33,2,0.00%,2,100.00%,7500,M-ROOT-DNS WIDE Project,JP
199.249.112.1,2,0.00%,1,50.00%,207266,AFILIAS-SECONDARY-DNS,IE
123.151.66.83,2,0.00%,2,100.00%,58542,"CHINATELECOM-TIANJIN Tianjij,300000",CN
199.7.83.42,2,0.00%,2,100.00%,20144,IMRS,US
205.251.193.165,2,0.00%,0,0.00%,16509,AMAZON-02,US
104.47.40.8,2,0.00%,0,0.00%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
205.251.193.2,2,0.00%,0,0.00%,16509,AMAZON-02,US
192.228.79.201,2,0.00%,2,100.00%,394353,BROOT-AS,US
205.251.199.165,2,0.00%,1,50.00%,16509,AMAZON-02,US
216.49.94.53,2,0.00%,0,0.00%,7754,MCAFEE,US
216.239.36.10,2,0.00%,0,0.00%,15169,GOOGLE,US
122.9.206.40,2,0.00%,0,0.00%,136958,UNICOM-GUANGZHOU-IDC China Unicom Guangdong IP network,CN
172.64.35.157,2,0.00%,2,100.00%,13335,CLOUDFLARENET,US
205.251.194.84,2,0.00%,2,100.00%,16509,AMAZON-02,US
159.226.95.34,1,0.00%,0,0.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
8.8.8.5,1,0.00%,0,0.00%,15169,GOOGLE,US
106.11.41.153,1,0.00%,0,0.00%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
216.239.38.107,1,0.00%,0,0.00%,15169,GOOGLE,US
23.211.61.67,1,0.00%,0,0.00%,21342,AKAMAI-ASN2,NL
173.245.58.104,1,0.00%,0,0.00%,13335,CLOUDFLARENET,US
198.41.0.4,1,0.00%,1,100.00%,396570,VRSN-AC50-340,US
162.159.26.170,1,0.00%,0,0.00%,13335,CLOUDFLARENET,US
199.9.14.201,1,0.00%,0,0.00%,394353,BROOT-AS,US
205.251.196.208,1,0.00%,0,0.00%,16509,AMAZON-02,US
37.130.197.1,1,0.00%,0,0.00%,199386,-Reserved AS-,ZZ
216.239.38.109,1,0.00%,0,0.00%,15169,GOOGLE,US
