resolver_ip,num_all,rate_all,num_success,rate_success,asnum,asname,country
8.8.8.8,197350,39.68%,173382,87.86%,15169,GOOGLE,US
114.114.114.114,87876,17.67%,71320,81.16%,174,COGENT-174,US
159.226.8.7,79983,16.08%,59914,74.91%,7497,CSTNET-AS-AP Computer Network Information Center,CN
223.5.5.5,77702,15.62%,59202,76.19%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
119.29.29.29,14292,2.87%,10690,74.80%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
159.226.8.6,13182,2.65%,11562,87.71%,7497,CSTNET-AS-AP Computer Network Information Center,CN
210.2.4.8,4052,0.81%,3545,87.49%,24151,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
8.8.4.4,3241,0.65%,2450,75.59%,15169,GOOGLE,US
223.6.6.6,3229,0.65%,2099,65.00%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
2.16.130.65,2074,0.42%,0,0.00%,21342,AKAMAI-ASN2,NL
101.198.198.198,1552,0.31%,1225,78.93%,55992,QIHOO Beijing Qihu Technology Company Limited,CN
1.2.4.8,1304,0.26%,938,71.93%,24406,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
180.76.76.76,852,0.17%,567,66.55%,38365,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd.",CN
114.114.115.115,849,0.17%,536,63.13%,174,COGENT-174,US
210.73.64.1,798,0.16%,739,92.61%,18239,"CAPNET NO.11 Xi San Huan Zhong Road,Beijing",CN
202.106.0.20,586,0.12%,419,71.50%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
159.168.8.7,560,0.11%,469,83.75%,28686,AVENIQ-AVECTRIS-AS,CH
119.28.28.28,460,0.09%,413,89.78%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
124.124.124.124,373,0.08%,325,87.13%,18101,RELIANCE-COMMUNICATIONS-IN Reliance Communications Ltd.DAKC MUMBAI,IN
10.24.49.10,308,0.06%,154,50.00%,null,null,null
123.125.81.6,297,0.06%,270,90.91%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
8.212.93.3,279,0.06%,138,49.46%,134963,ASEPL-AS-AP Alibaba.com Singapore E-Commerce Private Limited,SG
4.4.4.4,249,0.05%,130,52.21%,3356,LEVEL3,US
119.119.119.119,233,0.05%,80,34.33%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
1.1.1.1,204,0.04%,142,69.61%,13335,CLOUDFLARENET,US
192.18.0.2,203,0.04%,75,36.95%,43894,ORCL-LON-OPC1,SE
101.226.4.6,186,0.04%,130,69.89%,4812,CHINANET-SH-AP China Telecom Group,CN
208.67.220.220,186,0.04%,135,72.58%,36692,OPENDNS,US
1.0.0.1,165,0.03%,145,87.88%,13335,CLOUDFLARENET,US
101.91.94.51,164,0.03%,114,69.51%,4812,CHINANET-SH-AP China Telecom Group,CN
114.114.114.11,153,0.03%,149,97.39%,174,COGENT-174,US
182.254.116.116,142,0.03%,123,86.62%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
121.51.94.181,128,0.03%,97,75.78%,45090,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited,CN
192.203.230.10,124,0.02%,124,100.00%,21556,NARC-EROOT,US
159.226.95.94,122,0.02%,122,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.254,122,0.02%,122,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.219,121,0.02%,121,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.93,121,0.02%,121,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
199.7.83.42,120,0.02%,120,100.00%,20144,IMRS,US
